"Uniprot","Genes","Pathways"
"O00571","DDX3X","Cluster 2"
"O00584","RNASET2","Cluster 5"
"O00592","PODXL","Cluster 3"
"O00623","PEX12","Cluster 4"
"O00625","PIR","Cluster 3"
"O00628","PEX7","Cluster 3"
"O00629","KPNA4","Cluster 3"
"O00635","TRIM38","Cluster 3"
"O00716","E2F3","Cluster 5"
"O00743","PPP6C","Cluster 2"
"O00748","CES2","Cluster 4"
"O00750","PIK3C2B","Cluster 3"
"O00754","MAN2B1","Cluster 5"
"O00757","FBP2","Cluster 3"
"O00762","UBE2C","Cluster 1"
"O00763","ACACB","Cluster 3"
"O00764","PDXK","Cluster 1"
"O00767","SCD","Cluster 4"
"O14492","SH2B2","Cluster 3"
"O14493","CLDN4","Cluster 1"
"O14494","PLPP1","Cluster 3"
"O14495","PLPP3","Cluster 3"
"O14497","ARID1A","Cluster 3"
"O14503","BHLHE40","Cluster 5"
"O14508","SOCS2","Cluster 3"
"O14513","NCKAP5","Cluster 3"
"O14519","CDK2AP1","Cluster 5"
"O14521","SDHD","Cluster 4"
"O14524","NEMP1","Cluster 4"
"O14526","FCHO1","Cluster 3"
"O14530","TXNDC9","Cluster 1"
"O14531","DPYSL4","Cluster 3"
"O14545","TRAFD1","Cluster 1"
"O14548","COX7A2L","Cluster 4"
"O14556","GAPDHS","Cluster 3"
"O14558","HSPB6","Cluster 3"
"O14561","NDUFAB1","Cluster 5"
"O14562","UBFD1","Cluster 1"
"O14576","DYNC1I1","Cluster 3"
"O14579","COPE","Cluster 1"
"O14593","RFXANK","Cluster 3"
"O14595","CTDSP2","Cluster 4"
"O14602","EIF1AY","Cluster 3"
"O14613","CDC42EP2","Cluster 3"
"O14618","CCS","Cluster 1"
"O14628","ZNF195","Cluster 3"
"O14640","DVL1","Cluster 3"
"O14641","DVL2","Cluster 1"
"O14646","CHD1","Cluster 4"
"O14647","CHD2","Cluster 4"
"O14656","TOR1A","Cluster 4"
"O14657","TOR1B","Cluster 4"
"O14662","STX16","Cluster 4"
"O14668","PRRG1","Cluster 1"
"O14672","ADAM10","Cluster 4"
"O14678","ABCD4","Cluster 4"
"O14681","EI24","Cluster 4"
"O14683","TP53I11","Cluster 3"
"O14684","PTGES","Cluster 3"
"O14713","ITGB1BP1","Cluster 3"
"O14727","APAF1","Cluster 2"
"O14730","RIOK3","Cluster 1"
"O14732","IMPA2","Cluster 3"
"O14734","ACOT8","Cluster 4"
"O14735","CDIPT","Cluster 4"
"O14737","PDCD5","Cluster 1"
"O14744","PRMT5","Cluster 2"
"O14745","SLC9A3R1","Cluster 3"
"O14757","CHEK1","Cluster 2"
"O14763","TNFRSF10B","Cluster 3"
"O14772","FPGT","Cluster 2"
"O14773","TPP1","Cluster 5"
"O14775","GNB5","Cluster 3"
"O14776","TCERG1","Cluster 5"
"O14777","NDC80","Cluster 1"
"O14782","KIF3C","Cluster 3"
"O14786","NRP1","Cluster 3"
"O14787","TNPO2","Cluster 2"
"O14795","UNC13B","Cluster 3"
"O14802","POLR3A","Cluster 2"
"O14810","CPLX1","Cluster 3"
"O14817","TSPAN4","Cluster 3"
"O14818","PSMA7","Cluster 2"
"O14828","SCAMP3","Cluster 4"
