"Uniprot","Genes","Pathways"
"Q9H1J1","UPF3A","Cluster 1"
"Q9H1J7","WNT5B","Cluster 3"
"Q9H1K0","RBSN","Cluster 4"
"Q9H1K1","ISCU","Cluster 5"
"Q9H1K6","TLNRD1","Cluster 5"
"Q9H1N7","SLC35B3","Cluster 4"
"Q9H1P3","OSBPL2","Cluster 2"
"Q9H1U4","MEGF9","Cluster 4"
"Q9H1X3","DNAJC25","Cluster 4"
"Q9H1X3","DNAJC25","Cluster 4"
"Q9H1Y0","ATG5","Cluster 1"
"Q9H1Z4","WDR13","Cluster 3"
"Q9H1Z9","TSPAN10","Cluster 3"
"Q9H201","EPN3","Cluster 3"
"Q9H204","MED28","Cluster 5"
"Q9H211","CDT1","Cluster 4"
"Q9H223","EHD4","Cluster 2"
"Q9H237","PORCN","Cluster 4"
"Q9H246","C1orf21","Cluster 3"
"Q9H254","SPTBN4","Cluster 3"
"Q9H267","VPS33B","Cluster 2"
"Q9H269","VPS16","Cluster 2"
"Q9H270","VPS11","Cluster 2"
"Q9H299","SH3BGRL3","Cluster 1"
"Q9H2C0","GAN","Cluster 2"
"Q9H2C2","ARV1","Cluster 4"
"Q9H2D1","SLC25A32","Cluster 4"
"Q9H2D6","TRIOBP","Cluster 4"
"Q9H2F3","HSD3B7","Cluster 3"
"Q9H2G2","SLK","Cluster 2"
"Q9H2G4","TSPYL2","Cluster 3"
"Q9H2G9","BLZF1","Cluster 5"
"Q9H2H8","PPIL3","Cluster 1"
"Q9H2H9","SLC38A1","Cluster 3"
"Q9H2I8","LRMDA","Cluster 3"
"Q9H2J4","PDCL3","Cluster 1"
"Q9H2J7","SLC6A15","Cluster 3"
"Q9H2K0","MTIF3","Cluster 5"
"Q9H2K8","TAOK3","Cluster 3"
"Q9H2M9","RAB3GAP2","Cluster 2"
"Q9H2P0","ADNP","Cluster 5"
"Q9H2S9","IKZF4","Cluster 3"
"Q9H2T7","RANBP17","Cluster 3"
"Q9H2U1","DHX36","Cluster 2"
"Q9H2U2","PPA2","Cluster 5"
"Q9H2V7","SPNS1","Cluster 4"
"Q9H2W6","MRPL46","Cluster 5"
"Q9H2X8","IFI27L2","Cluster 5"
"Q9H2X9","SLC12A5","Cluster 3"
"Q9H2Y7","ZNF106","Cluster 5"
"Q9H300","PARL","Cluster 4"
"Q9H305","CDIP1","Cluster 3"
"Q9H307","PNN","Cluster 5"
"Q9H321","VCX3B","Cluster 3"
"Q9H329","EPB41L4B","Cluster 3"
"Q9H334","FOXP1","Cluster 3"
"Q9H347","UBQLN3","Cluster 1"
"Q9H3C7","GGNBP2","Cluster 2"
"Q9H3D4","TP63","Cluster 3"
"Q9H3E2","SNX25","Cluster 3"
"Q9H3F6","KCTD10","Cluster 4"
"Q9H3G5","CPVL","Cluster 3"
"Q9H3H1","TRIT1","Cluster 3"
"Q9H3H5","DPAGT1","Cluster 4"
"Q9H3J6","C12orf65","Cluster 5"
"Q9H3K2","GHITM","Cluster 4"
"Q9H3L0","MMADHC","Cluster 3"
"Q9H3M7","TXNIP","Cluster 3"
"Q9H3N1","TMX1","Cluster 4"
"Q9H3P2","NELFA","Cluster 5"
"Q9H3P7","ACBD3","Cluster 4"
"Q9H3Q1","CDC42EP4","Cluster 3"
"Q9H3R0","KDM4C","Cluster 3"
"Q9H3R2","MUC13","Cluster 3"
"Q9H3R5","CENPH","Cluster 4"
"Q9H3S4","TPK1","Cluster 3"
"Q9H3S5","PIGM","Cluster 4"
"Q9H3S7","PTPN23","Cluster 2"
"Q9H3U1","UNC45A","Cluster 2"
"Q9H3U5","MFSD1","Cluster 4"
"Q9H3Y8","PPDPF","Cluster 5"
"Q9H3Z4","DNAJC5","Cluster 4"
"Q9H410","DSN1","Cluster 5"
"Q9H425","C1orf198","Cluster 1"
"Q9H444","CHMP4B","Cluster 1"
"Q9H446","RWDD1","Cluster 1"
"Q9H467","CUEDC2","Cluster 1"
"Q9H469","FBXL15","Cluster 3"
"Q9H477","RBKS","Cluster 3"
"Q9H479","FN3K","Cluster 3"
"Q9H488","POFUT1","Cluster 4"
"Q9H490","PIGU","Cluster 4"
"Q9H496","TOR1AIP2","Cluster 1"
"Q9H497","TOR3A","Cluster 4"
"Q9H4A4","RNPEP","Cluster 2"
"Q9H4A5","GOLPH3L","Cluster 3"
"Q9H4A6","GOLPH3","Cluster 4"
"Q9H4B0","OSGEPL1","Cluster 4"
"Q9H4B6","SAV1","Cluster 3"
"Q9H4B7","TUBB1","Cluster 3"
"Q9H4E5","RHOJ","Cluster 3"
"Q9H4E7","DEF6","Cluster 3"
"Q9H4G0","EPB41L1","Cluster 3"
"Q9H4G4","GLIPR2","Cluster 3"
"Q9H4H8","FAM83D","Cluster 2"
"Q9H4I2","ZHX3","Cluster 5"
"Q9H4I3","TRABD","Cluster 4"
"Q9H4I9","SMDT1","Cluster 4"
"Q9H4K7","MTG2","Cluster 4"
"Q9H4L4","SENP3","Cluster 4"
"Q9H4L5","OSBPL3","Cluster 3"
"Q9H4M3","FBXO44","Cluster 3"
"Q9H4M7","PLEKHA4","Cluster 3"
"Q9H4M9","EHD1","Cluster 2"
"Q9H4P4","RNF41","Cluster 1"
"Q9H4W6","EBF3","Cluster 3"
"Q9H4Z2","ZNF335","Cluster 4"
"Q9H4Z3","PCIF1","Cluster 2"
"Q9H501","ESF1","Cluster 5"
"Q9H553","ALG2","Cluster 4"
"Q9H568","ACTL8","Cluster 3"
"Q9H582","ZNF644","Cluster 5"
"Q9H583","HEATR1","Cluster 4"
"Q9H5H4","ZNF768","Cluster 3"
"Q9H5I1","SUV39H2","Cluster 4"
"Q9H5J0","ZBTB3","Cluster 5"
"Q9H5J4","ELOVL6","Cluster 4"
"Q9H5J8","TAF1D","Cluster 3"
"Q9H5K3","POMK","Cluster 4"
"Q9H5N1","RABEP2","Cluster 1"
"Q9H5Q4","TFB2M","Cluster 4"
"Q9H5U6","ZCCHC4","Cluster 4"
"Q9H5V7","IKZF5","Cluster 5"
"Q9H5V8","CDCP1","Cluster 3"
"Q9H5V9","CXorf56","Cluster 1"
"Q9H5X1","CIAO2A","Cluster 1"
"Q9H5Y7","SLITRK6","Cluster 3"
"Q9H5Z1","DHX35","Cluster 4"
"Q9H649","NSUN3","Cluster 4"
"Q9H668","STN1","Cluster 3"
"Q9H694","BICC1","Cluster 3"
"Q9H6A0","DENND2D","Cluster 3"
"Q9H6A9","PCNX3","Cluster 4"
"Q9H6B4","CLMP","Cluster 3"
"Q9H6D7","HAUS4","Cluster 2"
"Q9H6E4","CCDC134","Cluster 4"
"Q9H6E5","TUT1","Cluster 3"
"Q9H6F5","CCDC86","Cluster 5"
"Q9H6H4","REEP4","Cluster 4"
"Q9H6K4","OPA3","Cluster 4"
"Q9H6L4","ARMC7","Cluster 1"
"Q9H6P5","TASP1","Cluster 3"
"Q9H6Q4","CIAO3","Cluster 2"
"Q9H6R0","DHX33","Cluster 4"
"Q9H6R3","ACSS3","Cluster 3"
"Q9H6R4","NOL6","Cluster 4"
"Q9H6R6","ZDHHC6","Cluster 4"
"Q9H6R7","WDCP","Cluster 3"
"Q9H6S0","YTHDC2","Cluster 2"
"Q9H6S1","AZI2","Cluster 1"
"Q9H6S3","EPS8L2","Cluster 3"
"Q9H6T3","RPAP3","Cluster 1"
"Q9H6W3","RIOX1","Cluster 3"
"Q9H6X2","ANTXR1","Cluster 3"
"Q9H6X4","TMEM134","Cluster 4"
"Q9H6Y2","WDR55","Cluster 5"
"Q9H6Y7","RNF167","Cluster 5"
"Q9H6Z4","RANBP3","Cluster 3"
"Q9H706","GAREM1","Cluster 3"
"Q9H707","ZNF552","Cluster 3"
"Q9H773","DCTPP1","Cluster 1"
"Q9H777","ELAC1","Cluster 3"
"Q9H788","SH2D4A","Cluster 3"
"Q9H792","PEAK1","Cluster 3"
"Q9H7B2","RPF2","Cluster 4"
"Q9H7B4","SMYD3","Cluster 2"
"Q9H7C4","SYNC","Cluster 3"
"Q9H7C9","AAMDC","Cluster 1"
"Q9H7D0","DOCK5","Cluster 3"
"Q9H7D7","WDR26","Cluster 4"
"Q9H7F0","ATP13A3","Cluster 4"
"Q9H7F4","TMEM185B","Cluster 3"
"Q9H7H0","METTL17","Cluster 4"
"Q9H7L9","SUDS3","Cluster 4"
"Q9H7M9","VSIR","Cluster 3"
"Q9H7N4","SCAF1","Cluster 5"
"Q9H7P6","MVB12B","Cluster 3"
"Q9H7P9","PLEKHG2","Cluster 3"
"Q9H7S9","ZNF703","Cluster 3"
"Q9H7X7","IFT22","Cluster 1"
"Q9H7Z3","NRDE2","Cluster 4"
"Q9H7Z6","KAT8","Cluster 3"
"Q9H7Z7","PTGES2","Cluster 4"
"Q9H814","PHAX","Cluster 1"
"Q9H832","UBE2Z","Cluster 1"
"Q9H840","GEMIN7","Cluster 1"
"Q9H845","ACAD9","Cluster 4"
"Q9H871","RMND5A","Cluster 3"
"Q9H875","PRKRIP1","Cluster 5"
"Q9H8E8","KAT14","Cluster 4"
"Q9H8G2","CAAP1","Cluster 3"
"Q9H8H0","NOL11","Cluster 4"
"Q9H8H2","DDX31","Cluster 4"
"Q9H8H3","METTL7A","Cluster 3"
"Q9H8J5","MANSC1","Cluster 3"
"Q9H8M1","COQ10B","Cluster 4"
"Q9H8M2","BRD9","Cluster 5"
"Q9H8M5","CNNM2","Cluster 4"
"Q9H8M7","MINDY3","Cluster 3"
"Q9H8M9","EVA1A","Cluster 3"
"Q9H8N7","ZNF395","Cluster 3"
"Q9H8P0","SRD5A3","Cluster 4"
"Q9H8U3","ZFAND3","Cluster 1"
"Q9H8V3","ECT2","Cluster 4"
"Q9H8W3","FAM204A","Cluster 3"
"Q9H8W4","PLEKHF2","Cluster 1"
"Q9H8Y5","ANKZF1","Cluster 2"
"Q9H8Y8","GORASP2","Cluster 5"
"Q9H900","ZWILCH","Cluster 2"
"Q9H903","MTHFD2L","Cluster 5"
"Q9H910","JPT2","Cluster 1"
"Q9H920","RNF121","Cluster 4"
"Q9H930","SP140L","Cluster 3"
"Q9H936","SLC25A22","Cluster 4"
"Q9H939","PSTPIP2","Cluster 3"
"Q9H944","MED20","Cluster 4"
"Q9H967","WDR76","Cluster 4"
"Q9H972","C14orf93","Cluster 5"
"Q9H977","WDR54","Cluster 3"
"Q9H981","ACTR8","Cluster 4"
"Q9H992","MARCH7","Cluster 4"
"Q9H993","ARMT1","Cluster 2"
"Q9H999","PANK3","Cluster 2"
"Q9H9A6","LRRC40","Cluster 2"
"Q9H9A7","RMI1","Cluster 4"
"Q9H9B1","EHMT1","Cluster 5"
"Q9H9B4","SFXN1","Cluster 4"
"Q9H9C1","VIPAS39","Cluster 2"
"Q9H9D4","ZNF408","Cluster 5"
"Q9H9E3","COG4","Cluster 2"
"Q9H9F9","ACTR5","Cluster 5"
"Q9H9G7","AGO3","Cluster 4"
"Q9H9H4","VPS37B","Cluster 3"
"Q9H9J2","MRPL44","Cluster 4"
"Q9H9L3","ISG20L2","Cluster 4"
"Q9H9L4","KANSL2","Cluster 5"
"Q9H9P8","L2HGDH","Cluster 4"
"Q9H9Q2","COPS7B","Cluster 2"
"Q9H9Q4","NHEJ1","Cluster 1"
"Q9H9S3","SEC61A2","Cluster 4"
"Q9H9S4","CAB39L","Cluster 3"
"Q9H9S5","FKRP","Cluster 4"
"Q9H9T3","ELP3","Cluster 2"
"Q9H9V9","JMJD4","Cluster 2"
"Q9H9Y2","RPF1","Cluster 4"
"Q9H9Y4","GPN2","Cluster 2"
"Q9H9Y6","POLR1B","Cluster 4"
"Q9HA38","ZMAT3","Cluster 5"
"Q9HA47","UCK1","Cluster 2"
"Q9HA64","FN3KRP","Cluster 1"
"Q9HA65","TBC1D17","Cluster 2"
"Q9HA77","CARS2","Cluster 4"
"Q9HA82","CERS4","Cluster 3"
"Q9HA92","RSAD1","Cluster 3"
"Q9HAB3","SLC52A2","Cluster 4"
"Q9HAB8","PPCS","Cluster 2"
"Q9HAC7","SUGCT","Cluster 3"
"Q9HAC8","UBTD1","Cluster 5"
"Q9HAD4","WDR41","Cluster 2"
"Q9HAJ7","SAP30L","Cluster 5"
"Q9HAN9","NMNAT1","Cluster 4"
"Q9HAP2","MLXIP","Cluster 2"
"Q9HAR2","ADGRL3","Cluster 3"
"Q9HAS0","C17orf75","Cluster 3"
"Q9HAT2","SIAE","Cluster 3"
"Q9HAT8","PELI2","Cluster 3"
"Q9HAU0","PLEKHA5","Cluster 3"
"Q9HAU4","SMURF2","Cluster 2"
"Q9HAU5","UPF2","Cluster 2"
"Q9HAV0","GNB4","Cluster 3"
"Q9HAV4","XPO5","Cluster 2"
"Q9HAV7","GRPEL1","Cluster 5"
"Q9HAW0","BRF2","Cluster 2"
"Q9HAW4","CLSPN","Cluster 3"
"Q9HAZ1","CLK4","Cluster 4"
"Q9HAZ2","PRDM16","Cluster 3"
"Q9HB07","C12orf10","Cluster 1"
"Q9HB09","BCL2L12","Cluster 4"
"Q9HB19","PLEKHA2","Cluster 3"
"Q9HB20","PLEKHA3","Cluster 3"
"Q9HB21","PLEKHA1","Cluster 3"
"Q9HB40","SCPEP1","Cluster 5"
"Q9HB63","NTN4","Cluster 3"
"Q9HB71","CACYBP","Cluster 1"
"Q9HB90","RRAGC","Cluster 3"
"Q9HB96","FANCE","Cluster 3"
"Q9HBA0","TRPV4","Cluster 3"
"Q9HBE1","PATZ1","Cluster 4"
"Q9HBF4","ZFYVE1","Cluster 1"
"Q9HBH0","RHOF","Cluster 3"
"Q9HBH1","PDF","Cluster 5"
"Q9HBH5","RDH14","Cluster 4"
"Q9HBI0","PARVG","Cluster 3"
"Q9HBI1","PARVB","Cluster 3"
"Q9HBI6","CYP4F11","Cluster 3"
"Q9HBK9","AS3MT","Cluster 3"
"Q9HBL7","PLGRKT","Cluster 4"
"Q9HBL8","NMRAL1","Cluster 3"
"Q9HBM0","VEZT","Cluster 4"
"Q9HBM1","SPC25","Cluster 3"
"Q9HBM6","TAF9B","Cluster 5"
"Q9HBR0","SLC38A10","Cluster 4"
"Q9HBU6","ETNK1","Cluster 2"
"Q9HC07","TMEM165","Cluster 4"
"Q9HC16","APOBEC3G","Cluster 3"
"Q9HC21","SLC25A19","Cluster 4"
"Q9HC35","EML4","Cluster 2"
"Q9HC36","MRM3","Cluster 5"
"Q9HC44","GPBP1L1","Cluster 1"
"Q9HC52","CBX8","Cluster 5"
"Q9HC56","PCDH9","Cluster 3"
"Q9HC62","SENP2","Cluster 5"
"Q9HC77","CENPJ","Cluster 3"
"Q9HC78","ZBTB20","Cluster 3"
"Q9HC84","MUC5B","Cluster 3"
"Q9HCB6","SPON1","Cluster 3"
"Q9HCC0","MCCC2","Cluster 5"
"Q9HCD5","NCOA5","Cluster 5"
"Q9HCE0","EPG5","Cluster 2"
"Q9HCE1","MOV10","Cluster 2"
"Q9HCE3","ZNF532","Cluster 3"
"Q9HCE5","METTL14","Cluster 3"
"Q9HCE6","ARHGEF10L","Cluster 3"
"Q9HCE7","SMURF1","Cluster 3"
"Q9HCE9","ANO8","Cluster 4"
"Q9HCG7","GBA2","Cluster 4"
"Q9HCG8","CWC22","Cluster 4"
"Q9HCH0","NCKAP5L","Cluster 3"
"Q9HCH3","CPNE5","Cluster 3"
"Q9HCI7","MSL2","Cluster 5"
"Q9HCJ1","ANKH","Cluster 3"
"Q9HCJ6","VAT1L","Cluster 3"
"Q9HCK1","ZDBF2","Cluster 3"
"Q9HCK5","AGO4","Cluster 3"
"Q9HCK8","CHD8","Cluster 3"
"Q9HCL2","GPAM","Cluster 4"
"Q9HCM2","PLXNA4","Cluster 3"
"Q9HCM3","KIAA1549","Cluster 3"
"Q9HCM4","EPB41L5","Cluster 3"
"Q9HCM7","FBRSL1","Cluster 4"
"Q9HCM9","TRIM39","Cluster 5"
"Q9HCN3","TMEM8A","Cluster 3"
"Q9HCN4","GPN1","Cluster 2"
"Q9HCN8","SDF2L1","Cluster 5"
"Q9HCS2","CYP4F12","Cluster 3"
"Q9HCS7","XAB2","Cluster 4"
"Q9HCU4","CELSR2","Cluster 3"
"Q9HCU5","PREB","Cluster 4"
"Q9HCU8","POLD4","Cluster 3"
"Q9HCU9","BRMS1","Cluster 4"
"Q9HCY8","S100A14","Cluster 3"
"Q9HD15","SRA1","Cluster 1"
"Q9HD20","ATP13A1","Cluster 4"
"Q9HD23","MRS2","Cluster 3"
"Q9HD26","GOPC","Cluster 4"
"Q9HD33","MRPL47","Cluster 4"
"Q9HD34","LYRM4","Cluster 4"
"Q9HD40","SEPSECS","Cluster 3"
"Q9HD42","CHMP1A","Cluster 1"
"Q9HD43","PTPRH","Cluster 3"
"Q9HD45","TM9SF3","Cluster 4"
"Q9HD47","RANGRF","Cluster 1"
"Q9HD64","XAGE1A","Cluster 3"
"Q9HD64","XAGE1A","Cluster 3"
"Q9HD64","XAGE1B","Cluster 3"
"Q9HD64","XAGE1B","Cluster 3"
"Q9HD64","XAGE1C","Cluster 3"
"Q9HD64","XAGE1C","Cluster 3"
"Q9HD64","XAGE1D","Cluster 3"
"Q9HD64","XAGE1D","Cluster 3"
"Q9HD64","XAGE1E","Cluster 3"
"Q9HD64","XAGE1E","Cluster 3"
"Q9HD67","MYO10","Cluster 3"
"Q9HDC5","JPH1","Cluster 3"
"Q9HDC9","APMAP","Cluster 4"
"Q9NNW5","WDR6","Cluster 2"
"Q9NNX1","TUFT1","Cluster 3"
"Q9NP50","SINHCAF","Cluster 5"
"Q9NP58","ABCB6","Cluster 3"
"Q9NP61","ARFGAP3","Cluster 1"
"Q9NP64","ZCCHC17","Cluster 5"
"Q9NP66","HMG20A","Cluster 5"
"Q9NP73","ALG13","Cluster 5"
"Q9NP74","PALMD","Cluster 3"
"Q9NP77","SSU72","Cluster 1"
"Q9NP79","VTA1","Cluster 1"
"Q9NP80","PNPLA8","Cluster 4"
"Q9NP81","SARS2","Cluster 5"
"Q9NP84","TNFRSF12A","Cluster 3"
"Q9NP87","POLM","Cluster 3"
"Q9NP90","RAB9B","Cluster 3"
"Q9NP92","MRPS30","Cluster 4"
"Q9NP97","DYNLRB1","Cluster 1"
"Q9NPA0","EMC7","Cluster 4"
"Q9NPA3","MID1IP1","Cluster 3"
"Q9NPA8","ENY2","Cluster 5"
"Q9NPB0","SAYSD1","Cluster 4"
"Q9NPB8","GPCPD1","Cluster 3"
"Q9NPC8","SIX2","Cluster 3"
"Q9NPD3","EXOSC4","Cluster 5"
"Q9NPD8","UBE2T","Cluster 1"
"Q9NPE2","NGRN","Cluster 5"
"Q9NPE3","NOP10","Cluster 5"
"Q9NPF0","CD320","Cluster 3"
"Q9NPF2","CHST11","Cluster 3"
"Q9NPF4","OSGEP","Cluster 2"
"Q9NPF5","DMAP1","Cluster 4"
"Q9NPG3","UBN1","Cluster 5"
"Q9NPG8","ZDHHC4","Cluster 4"
"Q9NPH0","ACP6","Cluster 3"
"Q9NPH2","ISYNA1","Cluster 3"
"Q9NPH3","IL1RAP","Cluster 3"
"Q9NPI6","DCP1A","Cluster 1"
"Q9NPI7","KRCC1","Cluster 3"
"Q9NPJ3","ACOT13","Cluster 5"
"Q9NPJ6","MED4","Cluster 5"
"Q9NPL8","TIMMDC1","Cluster 4"
"Q9NPQ8","RIC8A","Cluster 2"
"Q9NPR2","SEMA4B","Cluster 4"
"Q9NPR9","GPR108","Cluster 4"
"Q9NPY3","CD93","Cluster 3"
"Q9NQ11","ATP13A2","Cluster 4"
"Q9NQ29","LUC7L","Cluster 3"
"Q9NQ31","AKIP1","Cluster 1"
"Q9NQ34","TMEM9B","Cluster 4"
"Q9NQ48","LZTFL1","Cluster 3"
"Q9NQ50","MRPL40","Cluster 5"
"Q9NQ55","PPAN","Cluster 4"
"Q9NQ55","PPAN","Cluster 4"
"Q9NQ66","PLCB1","Cluster 3"
"Q9NQ86","TRIM36","Cluster 3"
"Q9NQ88","TIGAR","Cluster 3"
"Q9NQ89","C12orf4","Cluster 2"
"Q9NQ90","ANO2","Cluster 3"
"Q9NQ94","A1CF","Cluster 3"
"Q9NQC1","JADE2","Cluster 5"
"Q9NQC3","RTN4","Cluster 4"
"Q9NQC7","CYLD","Cluster 3"
"Q9NQE9","HINT3","Cluster 5"
"Q9NQG1","MANBAL","Cluster 4"
"Q9NQG5","RPRD1B","Cluster 5"
"Q9NQG6","MIEF1","Cluster 4"
"Q9NQH7","XPNPEP3","Cluster 5"
"Q9NQI0","DDX4","Cluster 3"
"Q9NQL2","RRAGD","Cluster 3"
"Q9NQP4","PFDN4","Cluster 1"
"Q9NQR1","KMT5A","Cluster 4"
"Q9NQR4","NIT2","Cluster 1"
"Q9NQS1","AVEN","Cluster 1"
"Q9NQS3","NECTIN3","Cluster 3"
"Q9NQS7","INCENP","Cluster 5"
"Q9NQT4","EXOSC5","Cluster 5"
"Q9NQT5","EXOSC3","Cluster 5"
"Q9NQT8","KIF13B","Cluster 3"
"Q9NQU5","PAK6","Cluster 3"
"Q9NQU5","PAK6","Cluster 3"
"Q9NQV8","PRDM8","Cluster 3"
"Q9NQW6","ANLN","Cluster 3"
"Q9NQX4","MYO5C","Cluster 3"
"Q9NQX5","NPDC1","Cluster 5"
"Q9NQX7","ITM2C","Cluster 3"
"Q9NQY0","BIN3","Cluster 3"
"Q9NQZ2","UTP3","Cluster 4"
"Q9NQZ5","STARD7","Cluster 3"
"Q9NQZ6","ZC4H2","Cluster 3"
"Q9NR09","BIRC6","Cluster 2"
"Q9NR28","DIABLO","Cluster 4"
"Q9NR30","DDX21","Cluster 4"
"Q9NR31","SAR1A","Cluster 2"
"Q9NR33","POLE4","Cluster 3"
"Q9NR45","NANS","Cluster 1"
"Q9NR46","SH3GLB2","Cluster 1"
"Q9NR48","ASH1L","Cluster 4"
"Q9NR50","EIF2B3","Cluster 2"
"Q9NR56","MBNL1","Cluster 5"
"Q9NR77","PXMP2","Cluster 4"
"Q9NR99","MXRA5","Cluster 3"
"Q9NRA0","SPHK2","Cluster 3"
"Q9NRA2","SLC17A5","Cluster 4"
"Q9NRB3","CHST12","Cluster 3"
"Q9NRC1","ST7","Cluster 3"
"Q9NRC8","SIRT7","Cluster 4"
"Q9NRD1","FBXO6","Cluster 3"
"Q9NRD5","PICK1","Cluster 3"
"Q9NRF2","SH2B1","Cluster 2"
"Q9NRF8","CTPS2","Cluster 3"
"Q9NRF9","POLE3","Cluster 1"
"Q9NRG0","CHRAC1","Cluster 3"
"Q9NRG1","PRTFDC1","Cluster 3"
"Q9NRG4","SMYD2","Cluster 2"
"Q9NRG9","AAAS","Cluster 4"
"Q9NRH1","YAE1","Cluster 1"
"Q9NRH2","SNRK","Cluster 2"
"Q9NRH3","TUBG2","Cluster 3"
"Q9NRI5","DISC1","Cluster 3"
"Q9NRK6","ABCB10","Cluster 4"
"Q9NRL2","BAZ1A","Cluster 4"
"Q9NRL3","STRN4","Cluster 3"
"Q9NRM2","ZNF277","Cluster 3"
"Q9NRM7","LATS2","Cluster 3"
"Q9NRN5","OLFML3","Cluster 3"
"Q9NRN7","AASDHPPT","Cluster 2"
"Q9NRN9","METTL5","Cluster 2"
"Q9NRP0","OSTC","Cluster 4"
"Q9NRP2","CMC2","Cluster 5"
"Q9NRP4","SDHAF3","Cluster 3"
"Q9NRP7","STK36","Cluster 3"
"Q9NRQ2","PLSCR4","Cluster 3"
"Q9NRR3","CDC42SE2","Cluster 4"
"Q9NRR4","DROSHA","Cluster 4"
"Q9NRR5","UBQLN4","Cluster 5"
"Q9NRR8","CDC42SE1","Cluster 5"
"Q9NRS4","TMPRSS4","Cluster 3"
"Q9NRS6","SNX15","Cluster 1"
"Q9NRV9","HEBP1","Cluster 3"
"Q9NRW1","RAB6B","Cluster 3"
"Q9NRW3","APOBEC3C","Cluster 3"
"Q9NRW7","VPS45","Cluster 4"
"Q9NRX1","PNO1","Cluster 4"
"Q9NRX2","MRPL17","Cluster 5"
"Q9NRX3","NDUFA4L2","Cluster 3"
"Q9NRX4","PHPT1","Cluster 1"
"Q9NRX5","SERINC1","Cluster 4"
"Q9NRX6","TMEM167B","Cluster 4"
"Q9NRY2","INIP","Cluster 5"
"Q9NRY4","ARHGAP35","Cluster 2"
"Q9NRY5","FAM114A2","Cluster 1"
"Q9NRY6","PLSCR3","Cluster 3"
"Q9NRZ5","AGPAT4","Cluster 3"
"Q9NRZ9","HELLS","Cluster 4"
"Q9NS00","C1GALT1","Cluster 4"
"Q9NS15","LTBP3","Cluster 3"
"Q9NS18","GLRX2","Cluster 5"
"Q9NS23","RASSF1","Cluster 3"
"Q9NS25","SPANXB1","Cluster 3"
"Q9NS37","CREBZF","Cluster 1"
"Q9NS56","TOPORS","Cluster 5"
"Q9NS69","TOMM22","Cluster 4"
"Q9NS73","MBIP","Cluster 5"
"Q9NS86","LANCL2","Cluster 2"
"Q9NS87","KIF15","Cluster 2"
"Q9NS91","RAD18","Cluster 5"
"Q9NS93","TM7SF3","Cluster 4"
"Q9NSA3","CTNNBIP1","Cluster 3"
"Q9NSB8","HOMER2","Cluster 3"
"Q9NSC2","SALL1","Cluster 3"
"Q9NSC5","HOMER3","Cluster 3"
"Q9NSC7","ST6GALNAC1","Cluster 3"
"Q9NSD4","ZNF275","Cluster 3"
"Q9NSD9","FARSB","Cluster 2"
"Q9NSE4","IARS2","Cluster 4"
"Q9NSG2","C1orf112","Cluster 4"
"Q9NSI2","FAM207A","Cluster 3"
"Q9NSI8","SAMSN1","Cluster 3"
"Q9NSK7","C19orf12","Cluster 3"
"Q9NSP4","CENPM","Cluster 4"
"Q9NSU2","TREX1","Cluster 3"
"Q9NSV4","DIAPH3","Cluster 2"
"Q9NSY0","NRBP2","Cluster 3"
"Q9NSY1","BMP2K","Cluster 4"
"Q9NSY2","STARD5","Cluster 3"
"Q9NT62","ATG3","Cluster 1"
"Q9NT68","TENM2","Cluster 3"
"Q9NTG7","SIRT3","Cluster 5"
"Q9NTI5","PDS5B","Cluster 4"
"Q9NTJ3","SMC4","Cluster 2"
"Q9NTJ5","SACM1L","Cluster 4"
"Q9NTK5","OLA1","Cluster 1"
"Q9NTM9","CUTC","Cluster 1"
"Q9NTX5","ECHDC1","Cluster 3"
"Q9NTX7","RNF146","Cluster 1"
"Q9NTZ6","RBM12","Cluster 1"
"Q9NU19","TBC1D22B","Cluster 2"
"Q9NU22","MDN1","Cluster 4"
"Q9NU23","LYRM2","Cluster 3"
"Q9NU53","GINM1","Cluster 4"
"Q9NUA8","ZBTB40","Cluster 4"
"Q9NUB1","ACSS1","Cluster 3"
"Q9NUD5","ZCCHC3","Cluster 3"
"Q9NUE0","ZDHHC18","Cluster 4"
"Q9NUG6","PDRG1","Cluster 1"
"Q9NUI1","DECR2","Cluster 4"
"Q9NUJ1","ABHD10","Cluster 5"
"Q9NUJ3","TCP11L1","Cluster 2"
"Q9NUL3","STAU2","Cluster 3"
"Q9NUL7","DDX28","Cluster 4"
"Q9NUM4","TMEM106B","Cluster 4"
"Q9NUN5","LMBRD1","Cluster 4"
"Q9NUP1","BLOC1S4","Cluster 1"
"Q9NUP7","TRMT13","Cluster 2"
"Q9NUP9","LIN7C","Cluster 5"
"Q9NUQ2","AGPAT5","Cluster 4"
"Q9NUQ3","TXLNG","Cluster 2"
"Q9NUQ7","UFSP2","Cluster 4"
"Q9NUQ8","ABCF3","Cluster 2"
"Q9NUQ9","FAM49B","Cluster 2"
"Q9NUS5","AP5S1","Cluster 3"
"Q9NUT2","ABCB8","Cluster 4"
"Q9NUU6","OTULINL","Cluster 3"
"Q9NUU7","DDX19A","Cluster 2"
"Q9NUW8","TDP1","Cluster 2"
"Q9NUX5","POT1","Cluster 2"
"Q9NUY8","TBC1D23","Cluster 2"
"Q9NV06","DCAF13","Cluster 4"
"Q9NV31","IMP3","Cluster 4"
"Q9NV35","NUDT15","Cluster 1"
